NAMESPACE,POD,CONTAINER,WHOAMI,ID
gpu-operator,nvidia-dcgm-exporter-tq86t,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-container-toolkit-daemonset-zfmkg,nvidia-container-toolkit-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-8vc7p,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-dcgm-exporter-xt4km,nvidia-dcgm-exporter,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-v7tnq,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-qblsv,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-9vljw,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-7nlw5,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-4xpsk,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-tkhhm,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-49scz,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-9kc4z,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-device-plugin-daemonset-wcrvk,nvidia-device-plugin,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-7j6g7,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-driver-daemonset-rx58p,nvidia-driver-ctr,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-45xq6,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-bktn4,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
gpu-operator,nvidia-operator-validator-5m22n,nvidia-operator-validator,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-postgresqlha-pgpool-6d785cbc59-rt8fz,pgpool,"",""
hydra,hydra-litellm-5b5b4ccbd9-zmt57,litellm-container,"",""
hydra,hydra-home-page-7b6cdd5bd7-p84wv,home-page,"root","uid=0(root) gid=0(root) groups=0(root),1(bin),2(daemon),3(sys),4(adm),6(disk),10(wheel),11(floppy),20(dialout),26(tape),27(video)"
hydra,hydra-postgresqlha-pgpool-6d785cbc59-x9mws,pgpool,"",""
hydra,hydra-postgresqlha-pgpool-6d785cbc59-tj6mf,pgpool,"",""
hydra,hydra-postgresqlha-postgresql-1,postgresql,"",""
hydra,hydra-litellm-69f579cc85-xtxmm,litellm-container,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-postgresqlha-postgresql-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-0,postgresql,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-2,postgresql,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-master-0,redis,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-1,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-postgresqlha-postgresql-2,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-master-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-replicas-0,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-replicas-0,redis,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-redis-replicas-1,redis,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-unieaifrontend-76b8cbb6d9-f2dlc,unieaifrontend,"root","uid=0(root) gid=0(root) groups=0(root)"
hydra,hydra-redis-replicas-2,metrics,"N/A","uid=1001 gid=1001 groups=1001"
hydra,hydra-vllm-taide-llama-3-1-taide-lx-8b-chat-846fcb9744-nwpjj,vllm,"root","uid=0(root) gid=0(root) groups=0(root)"
ingress-nginx,ingress-nginx-controller-7pxvq,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
ingress-nginx,ingress-nginx-controller-lzsh6,controller,"www-data","uid=101(www-data) gid=82(www-data) groups=82(www-data)"
hydra,hydra-redis-replicas-2,redis,"N/A","uid=1001 gid=1001 groups=1001"
ingress-nginx,ingress-nginx-controller-kdrbz,controller,"",""
hydra,hydra-redis-replicas-1,metrics,"N/A","uid=1001 gid=1001 groups=1001"
